0.4,8.8,4073,0.8,3.5,40
0.6,13.3,4065,1.9,7.9,59.8
0.8,17.7,4058,2.9,12.3,69.6
1,22.1,4050,3.9,16.7,75.4
1.2,26.5,4043,5,21,79.2
1.4,30.9,4036,6,25.3,81.9
1.6,35.4,4028,7,29.6,83.8
1.8,39.8,4021,8.1,33.9,85.3
2,44.2,4013,9.1,38.2,86.4
2.2,48.6,4006,10.1,42.5,87.4
2.4,53,3999,11.2,46.7,88.1
2.6,57.5,3991,12.2,50.9,88.7
2.8,61.9,3984,13.2,55.2,89.1
3,66.3,3976,14.3,59.4,89.5
3.2,70.7,3969,15.3,63.5,89.8
3.4,75.1,3962,16.3,67.7,90.1
3.6,79.6,3954,17.4,71.9,90.3
3.8,84,3947,18.4,76,90.5
4,88.4,3940,19.4,80.1,90.6
4.2,92.8,3932,20.4,84.2,90.7
4.4,97.2,3925,21.5,88.3,90.8
4.6,101.7,3917,22.5,92.4,90.9
4.8,106.1,3910,23.5,96.4,90.9
5,110.5,3903,24.6,100.5,90.9
5.2,114.9,3895,25.6,104.5,90.9
5.4,119.3,3888,26.6,108.5,90.9
5.6,123.8,3880,27.7,112.5,90.9
5.8,128.2,3873,28.7,116.4,90.8
6,132.6,3866,29.7,120.4,90.8
6.2,137,3858,30.8,124.3,90.7
6.4,141.4,3851,31.8,128.3,90.7
6.6,145.9,3843,32.8,132.2,90.6
6.8,150.3,3836,33.9,136.1,90.5
7,154.7,3829,34.9,139.9,90.5
